Term / Date,"Apr 1, 2004","Apr 1, 2005","Apr 1, 2006","Apr 1, 2007","Apr 1, 2008","Apr 1, 2009","Apr 1, 2010","Apr 1, 2011","Apr 1, 2012","Apr 1, 2013","Apr 1, 2014","Apr 1, 2015","Apr 1, 2016","Apr 1, 2017","Apr 1, 2018","Apr 1, 2019","Apr 1, 2020","Aug 1, 2004","Aug 1, 2005","Aug 1, 2006","Aug 1, 2007","Aug 1, 2008","Aug 1, 2009","Aug 1, 2010","Aug 1, 2011","Aug 1, 2012","Aug 1, 2013","Aug 1, 2014","Aug 1, 2015","Aug 1, 2016","Aug 1, 2017","Aug 1, 2018","Aug 1, 2019","Aug 1, 2020","Dec 1, 2004","Dec 1, 2005","Dec 1, 2006","Dec 1, 2007","Dec 1, 2008","Dec 1, 2009","Dec 1, 2010","Dec 1, 2011","Dec 1, 2012","Dec 1, 2013","Dec 1, 2014","Dec 1, 2015","Dec 1, 2016","Dec 1, 2017","Dec 1, 2018","Dec 1, 2019","Feb 1, 2004","Feb 1, 2005","Feb 1, 2006","Feb 1, 2007","Feb 1, 2008","Feb 1, 2009","Feb 1, 2010","Feb 1, 2011","Feb 1, 2012","Feb 1, 2013","Feb 1, 2014","Feb 1, 2015","Feb 1, 2016","Feb 1, 2017","Feb 1, 2018","Feb 1, 2019","Feb 1, 2020","Jan 1, 2004","Jan 1, 2005","Jan 1, 2006","Jan 1, 2007","Jan 1, 2008","Jan 1, 2009","Jan 1, 2010","Jan 1, 2011","Jan 1, 2012","Jan 1, 2013","Jan 1, 2014","Jan 1, 2015","Jan 1, 2016","Jan 1, 2017","Jan 1, 2018","Jan 1, 2019","Jan 1, 2020","Jul 1, 2004","Jul 1, 2005","Jul 1, 2006","Jul 1, 2007","Jul 1, 2008","Jul 1, 2009","Jul 1, 2010","Jul 1, 2011","Jul 1, 2012","Jul 1, 2013","Jul 1, 2014","Jul 1, 2015","Jul 1, 2016","Jul 1, 2017","Jul 1, 2018","Jul 1, 2019","Jul 1, 2020","Jun 1, 2004","Jun 1, 2005","Jun 1, 2006","Jun 1, 2007","Jun 1, 2008","Jun 1, 2009","Jun 1, 2010","Jun 1, 2011","Jun 1, 2012","Jun 1, 2013","Jun 1, 2014","Jun 1, 2015","Jun 1, 2016","Jun 1, 2017","Jun 1, 2018","Jun 1, 2019","Jun 1, 2020","Mar 1, 2004","Mar 1, 2005","Mar 1, 2006","Mar 1, 2007","Mar 1, 2008","Mar 1, 2009","Mar 1, 2010","Mar 1, 2011","Mar 1, 2012","Mar 1, 2013","Mar 1, 2014","Mar 1, 2015","Mar 1, 2016","Mar 1, 2017","Mar 1, 2018","Mar 1, 2019","Mar 1, 2020","May 1, 2004","May 1, 2005","May 1, 2006","May 1, 2007","May 1, 2008","May 1, 2009","May 1, 2010","May 1, 2011","May 1, 2012","May 1, 2013","May 1, 2014","May 1, 2015","May 1, 2016","May 1, 2017","May 1, 2018","May 1, 2019","May 1, 2020","nov. 1, 2004","nov. 1, 2005","nov. 1, 2006","nov. 1, 2007","nov. 1, 2008","nov. 1, 2009","nov. 1, 2010","nov. 1, 2011","nov. 1, 2012","nov. 1, 2013","nov. 1, 2014","nov. 1, 2015","nov. 1, 2016","nov. 1, 2017","nov. 1, 2018","nov. 1, 2019","oct. 1, 2004","oct. 1, 2005","oct. 1, 2006","oct. 1, 2007","oct. 1, 2008","oct. 1, 2009","oct. 1, 2010","oct. 1, 2011","oct. 1, 2012","oct. 1, 2013","oct. 1, 2014","oct. 1, 2015","oct. 1, 2016","oct. 1, 2017","oct. 1, 2018","oct. 1, 2019","oct. 1, 2020","Sep 1, 2004","Sep 1, 2005","Sep 1, 2006","Sep 1, 2007","Sep 1, 2008","Sep 1, 2009","Sep 1, 2010","Sep 1, 2011","Sep 1, 2012","Sep 1, 2013","Sep 1, 2014","Sep 1, 2015","Sep 1, 2016","Sep 1, 2017","Sep 1, 2018","Sep 1, 2019","Sep 1, 2020"
regroupement familial belgique,0,0,0,0,0,30,95,0,13,9,11,15,11,7,8,0,14,0,0,100,56,0,32,0,21,18,9,8,7,0,24,16,17,10,0,0,71,0,32,0,0,12,10,8,0,10,14,12,16,7,0,0,0,68,41,0,64,0,51,10,12,12,13,11,16,21,15,0,0,0,0,0,0,44,15,12,10,8,10,9,11,26,12,17,0,0,99,0,0,0,0,0,12,9,10,17,7,12,8,25,0,0,0,0,54,0,29,59,22,23,0,19,15,11,22,8,10,7,0,0,0,0,39,30,0,14,11,0,20,7,6,10,7,12,7,0,0,0,0,0,0,57,14,18,13,10,18,8,16,14,9,11,0,0,0,0,33,0,29,13,11,12,7,7,20,8,8,10,0,0,0,69,0,42,0,13,11,17,7,10,11,10,8,22,15,0,0,0,53,0,29,31,13,18,9,11,11,16,37,19,8,7
maroc consulat belgique,39,18,12,9,6,4,4,2,1,1,1,0,1,1,1,1,0,85,25,14,12,8,7,5,3,2,1,2,1,1,1,1,1,1,36,17,7,9,3,7,2,2,1,2,1,1,1,1,1,1,100,26,6,4,5,5,2,3,1,1,1,1,1,2,1,1,0,91,28,10,8,9,2,2,4,2,1,1,1,1,1,1,0,0,70,26,14,10,9,6,4,2,3,2,1,2,1,1,1,1,1,80,17,9,10,10,9,5,4,1,2,2,1,1,1,1,2,1,0,41,11,4,4,4,4,2,1,1,1,1,1,1,1,1,1,33,11,4,7,8,5,5,2,1,2,1,1,1,1,1,0,1,47,16,7,6,6,4,5,3,2,1,1,1,1,1,1,1,49,23,10,5,3,7,1,1,1,1,1,1,1,1,1,1,1,28,18,11,4,10,7,4,1,1,2,1,1,0,1,0,1,1
visa belgique casablanca,0,19,0,4,3,0,4,1,1,1,2,1,0,1,2,1,0,49,0,0,8,6,0,2,4,1,1,1,0,0,1,1,1,1,26,8,0,0,0,0,3,1,2,2,1,0,0,1,1,2,0,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,3,2,3,1,1,1,1,1,1,1,100,0,7,0,5,2,2,1,3,1,1,1,1,2,2,1,1,0,16,7,0,0,2,3,2,2,2,1,1,1,1,1,1,1,73,0,7,0,0,4,5,1,1,2,1,1,0,1,1,1,0,0,0,0,4,0,2,2,0,2,1,2,2,0,1,1,2,1,0,0,5,0,5,2,2,1,2,1,0,0,0,1,1,2,36,11,5,3,2,0,2,1,1,1,1,1,0,0,1,1,0,0,0,7,4,3,4,2,4,2,1,1,1,1,1,1,2,1
consulat belgique casablanca,0,23,11,10,4,4,9,5,2,1,2,1,1,1,1,1,0,78,29,24,9,4,10,5,5,3,2,2,2,1,1,2,1,1,35,7,6,5,7,6,3,2,2,2,2,1,1,1,1,1,0,20,11,9,9,4,4,5,2,2,2,1,1,1,1,1,0,55,21,7,5,8,6,6,3,2,2,1,2,1,1,1,1,0,100,18,18,7,5,9,8,5,2,2,2,1,1,1,1,1,1,0,35,10,6,9,4,5,7,4,2,1,1,1,1,1,1,1,58,29,0,5,5,6,5,6,3,1,1,1,1,1,1,1,0,0,12,17,8,5,7,7,4,1,2,2,2,1,1,2,1,1,27,16,6,6,7,3,2,2,3,1,1,0,1,2,1,1,57,9,4,6,8,7,4,4,2,1,2,1,1,1,1,1,0,64,16,21,6,5,8,5,6,1,2,2,1,0,2,1,2,0
visa schengen,100,0,12,17,18,21,37,15,18,18,20,23,24,21,30,26,7,0,27,33,17,18,17,16,19,24,23,23,22,20,33,33,33,10,45,15,0,8,4,15,16,16,23,17,18,20,20,28,30,30,0,44,0,16,13,22,13,15,14,17,20,20,21,27,28,35,35,0,0,30,8,12,16,11,15,14,13,13,23,15,23,29,31,35,85,26,28,22,15,16,23,21,21,22,23,30,26,34,52,36,10,0,29,23,26,12,33,32,24,27,22,20,28,36,40,43,36,9,0,31,18,15,9,8,23,15,22,19,25,26,25,24,29,33,13,0,54,16,17,17,17,20,20,26,18,15,28,23,27,35,46,7,0,17,9,16,9,11,21,13,20,19,14,29,24,27,41,29,0,0,19,6,9,23,15,16,21,21,20,27,19,27,33,31,8,69,68,0,9,19,31,15,16,15,22,21,22,23,30,34,30,7
consulat de belgique casablanca,57,38,14,7,5,4,7,3,2,1,1,1,1,1,1,1,0,97,16,14,9,9,6,4,6,4,3,2,2,1,1,2,1,1,34,11,5,4,8,9,3,1,1,2,1,1,1,1,1,0,71,25,11,8,6,4,5,4,1,1,1,1,1,1,1,1,1,67,27,8,7,6,7,5,4,2,3,1,1,1,1,2,1,0,100,20,18,8,9,13,8,4,3,2,1,1,0,1,1,0,1,48,32,13,13,5,5,8,7,3,1,1,1,0,1,1,1,1,0,17,0,8,4,5,4,3,1,1,2,1,1,1,0,1,1,47,15,10,7,5,5,7,5,2,1,2,1,1,1,1,1,0,34,20,7,4,2,4,7,4,3,1,1,1,1,1,1,1,35,11,14,5,11,6,4,4,3,1,1,1,0,1,1,1,0,80,65,13,4,5,9,4,6,2,2,2,1,1,1,1,1,1
rendez vous visa belgique,0,0,0,0,0,0,0,0,22,17,0,0,0,13,0,21,0,0,0,0,100,0,0,0,0,22,17,27,12,27,14,15,22,41,0,0,0,0,0,0,0,0,0,0,0,0,13,14,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,59,27,0,0,0,0,0,0,0,27,21,18,14,0,0,12,0,28,26,0,0,0,0,0,0,0,0,21,0,14,12,0,28,14,34,0,0,0,0,96,0,0,0,0,20,16,0,0,0,0,28,40,13,0,0,0,0,0,53,0,0,0,16,13,0,0,0,13,14,18,0,0,0,0,0,51,0,0,0,0,0,26,11,14,22,93,0,0,0,0,77,0,0,0,0,0,15,0,12,13,14,29,14,0,0,0,0,0,50,0,0,0,15,0,0,13,27,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,21,27
consulat de belgique au maroc,44,0,9,5,5,6,3,3,1,2,1,1,0,1,0,0,0,100,12,9,15,7,7,4,1,1,1,0,1,0,1,0,1,1,59,8,8,5,3,5,2,1,1,1,1,1,1,1,0,0,0,0,0,7,5,6,5,2,1,1,1,1,1,1,0,0,0,0,21,6,17,6,4,6,3,2,1,1,1,0,0,0,0,1,38,40,10,14,5,4,2,2,2,1,1,1,1,1,0,0,1,62,12,5,9,5,6,2,3,1,1,1,1,1,1,0,0,0,0,27,10,8,3,2,6,2,1,1,1,1,1,0,0,0,1,54,12,5,11,7,2,5,3,1,1,1,1,1,1,1,0,0,51,15,4,6,4,4,3,1,1,1,0,1,0,0,0,1,54,16,4,2,3,4,2,1,1,1,0,0,0,1,0,0,1,40,10,10,7,5,9,2,1,1,2,1,1,0,0,0,0,0
ambassade de belgique,57,19,12,11,6,4,3,2,2,2,1,1,1,1,1,1,1,99,55,7,6,8,7,3,2,3,2,2,1,1,1,1,2,1,0,8,5,5,3,2,4,3,2,1,1,0,0,1,1,1,70,41,12,14,4,2,4,2,2,2,1,1,1,1,1,1,1,0,0,9,12,3,6,4,2,3,2,1,1,1,1,1,1,1,50,25,14,6,5,7,4,3,2,2,1,1,1,1,1,1,2,50,33,13,11,9,5,0,4,1,1,1,1,1,1,1,1,1,0,0,0,9,5,4,5,2,2,2,1,1,1,1,1,1,3,47,21,8,7,5,3,4,3,2,1,3,1,1,1,0,1,2,68,40,13,6,5,3,2,3,2,1,1,1,1,0,1,1,72,33,8,5,3,7,3,2,2,1,1,0,1,1,1,1,1,100,26,7,7,5,4,2,4,2,2,1,1,1,1,1,1,1
tlscontact,0,0,0,0,0,0,0,0,10,4,3,14,21,30,51,100,6,0,0,0,0,0,0,0,0,7,4,7,22,29,71,65,78,33,0,0,0,0,0,0,0,2,4,2,8,20,21,45,69,72,0,0,0,0,0,0,0,0,8,4,3,8,17,31,43,85,100,0,0,0,0,0,0,0,0,4,3,2,6,16,28,45,71,92,0,0,0,0,0,0,0,1,8,3,5,33,27,86,75,73,27,0,0,0,0,0,0,0,0,9,5,3,31,25,67,73,60,28,0,0,0,0,0,0,0,0,5,5,2,11,21,36,47,87,48,0,0,0,0,0,0,0,0,11,3,2,23,23,36,65,84,9,0,0,0,0,0,0,0,1,6,3,4,20,21,43,64,62,0,0,0,0,0,0,0,0,3,4,5,28,17,44,63,66,14,0,0,0,0,0,0,0,0,8,3,5,20,23,60,66,74,20
visabel,0,0,0,0,0,0,28,35,38,34,38,45,16,13,14,7,0,0,0,0,0,0,0,47,78,91,53,65,65,18,10,7,7,0,0,0,0,0,0,0,55,41,34,24,28,30,17,7,0,0,0,0,0,0,0,0,0,52,61,35,20,18,14,16,10,0,0,0,0,0,0,0,0,0,41,58,41,34,25,25,15,7,7,0,0,0,0,0,0,0,65,77,52,36,35,43,24,7,10,7,0,0,0,0,0,0,0,45,61,45,30,36,29,22,8,12,7,0,0,0,0,0,0,0,53,55,31,19,22,44,11,17,7,7,0,0,0,0,0,0,0,43,59,40,32,40,39,17,7,0,8,0,0,0,0,0,0,0,52,51,39,40,32,31,24,7,0,7,0,0,0,0,0,0,34,100,43,20,28,22,15,7,0,0,7,0,0,0,0,0,0,85,56,46,45,62,26,29,0,11,7,0
ambassade de belgique au maroc,0,19,14,4,3,2,0,1,3,1,2,1,1,0,0,1,1,49,31,14,0,6,4,2,1,1,1,1,0,1,1,1,2,1,26,8,5,6,3,7,2,1,1,1,0,1,0,1,1,2,71,0,16,5,3,2,4,2,2,1,1,1,0,0,1,1,1,67,27,8,4,4,4,2,3,1,1,1,1,0,1,1,1,1,100,25,13,6,4,4,0,2,3,1,1,0,1,1,1,0,1,49,16,7,5,3,3,2,2,1,1,0,1,1,1,1,0,1,0,27,7,6,4,2,2,2,1,1,1,1,0,1,0,1,2,0,20,0,7,0,2,4,2,2,1,1,1,1,1,1,1,1,34,16,5,3,3,6,3,2,1,2,0,1,1,1,1,1,71,11,9,3,2,2,5,2,1,1,1,0,1,1,1,1,1,80,13,10,6,3,3,0,3,2,1,1,1,1,0,1,1,1
visa belgique,100,25,10,10,6,4,8,7,5,4,4,4,2,2,4,6,1,57,27,9,14,7,6,8,9,9,4,5,5,4,4,7,9,3,22,7,0,6,7,7,7,4,4,3,3,2,3,4,4,4,59,21,17,10,15,3,6,4,4,5,4,4,2,3,4,4,6,0,23,7,9,8,6,5,4,7,6,5,4,3,2,3,5,5,57,13,10,12,10,6,9,5,9,6,8,7,5,5,7,9,3,42,21,15,6,4,11,11,7,7,6,5,5,5,5,6,11,3,62,15,18,4,7,4,6,5,6,4,4,4,2,3,3,5,4,0,26,14,16,5,7,6,7,5,5,4,3,2,4,4,8,1,30,11,13,7,4,4,6,6,4,4,4,4,4,3,5,5,31,9,7,7,6,6,6,8,4,5,3,4,3,4,7,6,2,68,22,7,17,14,8,6,8,7,7,6,4,5,4,5,9,2
consulat de belgique a casablanca,0,28,20,0,6,3,5,5,1,1,2,1,1,1,1,1,0,72,23,17,6,6,4,3,9,2,3,2,1,1,1,0,1,1,0,12,7,6,3,10,5,1,1,2,1,1,1,1,1,1,100,36,12,10,0,3,0,6,1,2,1,1,1,1,0,1,1,0,0,12,11,6,4,6,4,1,2,1,1,1,0,1,1,1,0,22,0,11,6,6,9,5,3,1,1,2,0,0,1,1,1,0,24,0,8,8,3,4,7,2,1,2,2,1,1,1,1,1,0,26,10,0,4,3,4,5,1,0,1,1,0,0,0,2,1,0,34,18,8,5,3,3,4,1,2,1,4,1,1,2,0,0,50,14,7,9,3,5,6,3,3,1,1,0,0,1,1,0,0,0,8,7,10,3,6,3,3,2,1,1,1,0,1,1,0,0,19,19,5,5,11,0,7,4,1,1,1,1,1,0,1,0